category,code_name,disp_name_eng,disp_name_fin
variable_name,org_matter_moisture_conc,Moisture concentration (%),Aineen kosteus (%)
variable_name,org_matter_carbon_conc,Carbon (C) concentration (%),Hiilen (C) määrä aineessa (%)
variable_name,fertilizer_product_name,Name of fertilizer,Lannoitteen nimi
variable_name,fertilizer_material,Soil amendment subtance,Maanparannusaine
variable_name,fertilizer_material_source,Fertilizer material source,Lannoitteen alkuperä
variable_name,fertilizer_applic_method,Application method,Levitystapa
variable_name,application_depth_fert,Application depth (cm),Levityssyvyys (cm)
variable_name,fertilizer_total_amount,Total amount of fertilizer (kg/ha),Lannoitteen kokonaismäärä (kg/ha)
variable_name,N_in_applied_fertilizer,Amount of total nitrogen (N) in fertilizer (kg/ha),Typen (N) määrä lannoitteessa (kg/ha)
variable_name,N_in_soluble_fertilizer,Amount of soluble nitrogen (N) in fertilizer (kg/ha), Liukenevan typen (N) määrä lannoitteessa (kg/ha)
variable_name,phosphorus_applied_fert,Amount of phosphorus (P) in fertilizer (kg/ha),Fosforin (P) määrä lannoitteessa (kg/ha)
variable_name,fertilizer_K_applied,Amount of potassium (K) in fertilizer (kg/ha),Kaliumin (K) määrä lannoitteessa (kg/ha)
variable_name,S_in_applied_fertilizer,Amount of sulphur (S) in fertilizer (kg/ha),Rikin (S) määrä lannoitteessa (kg/ha)
variable_name,Ca_in_applied_fertilizer,Amount of calcium (Ca) in fertilizer (kg/ha),Kalsiumin (Ca) määrä lannoitteessa (kg/ha)
variable_name,Mg_in_applied_fertilizer,Amount of magnesium (Mg) in fertilizer (kg/ha),Magnesiumin (Mg) määrä lannoitteessa (kg/ha)
variable_name,Na_in_applied_fertilizer,Amount of sodium (Na) in fertilizer (kg/ha),Natriumin (Na) määrä lannoitteessa (kg/ha)
variable_name,Cu_in_applied_fertilizer,Amount of copper (Cu) in fertilizer (kg/ha),Kuparin (Cu) määrä lannoitteessa (kg/ha)
variable_name,Zn_in_applied_fertilizer,Amount of zinc (Zn) in fertilizer (kg/ha),Sinkin (Zn) määrä lannoitteessa (kg/ha)
variable_name,B_in_applied_fertilizer,Amount of boron (B) in fertilizer (kg/ha),Boorin (B) määrä lannoitteessa (kg/ha)
variable_name,Mn_in_applied_fertilizer,Amount of manganese (Mn) in fertilizer (kg/ha),Mangaanin (Mn) määrä lannoitteessa (kg/ha)
variable_name,Se_in_applied_fertilizer,Amount of selenium (Se) in fertilizer (kg/ha),Seleenin (Se) määrä lannoitteessa (kg/ha)
variable_name,Fe_in_applied_fertilizer,Amount of iron (Fe) in fertilizer (kg/ha),Raudan (Fe) määrä lannoitteessa (kg/ha)
variable_name,other_element_in_applied_fertilizer,Other elements in fertilizer (kg/ha),Muut ravinteet lannoitteessa (kg/ha)
variable_name,fertilizer_notes,Notes on fertilizer application,Muistiinpanoja lannoitteen levityksestä
variable_name,grazing_species,Grazing species,Laiduntava laji
variable_name,grazing_species_age_group,Livestock age group (yr),Eläinten ikäryhmä (v)
variable_name,livestock_density,Livestock density (number/ha),Eläinten tiheys (eläintä/ha)
variable_name,grazing_intensity,Grazing intensity (kg/ha),Laidunnusintensiteetti (kg/ha)
variable_name,grazing_period,Grazing period,Laidunnusjakso
variable_name,grazing_type,Grazing type,Laidunnuksen tyyppi,
variable_name,grazing_area,Grazing area (ha),Laidunnettava ala (ha),
variable_name,grazing_material_removed_prop,Proportion of material removed (%),Syödyn aineksen määrä (%)
variable_name,grazing_starting_height,Starting height (cm),Aloituspituus (cm)
variable_name,grazing_end_height,End height (cm),Lopetuspituus (cm)
variable_name,grazing_notes,Grazing notes,Laidunnusmuistiinpanot
variable_name,mowed_crop,Mowed crop,Leikattu kasvi
variable_name,mowed_area,Mowed area (ha),Leikattu ala (ha)
variable_name,mowing_method,Mowing method,Leikkuutapa
variable_name,mowing_canopy_height,Canopy height before mowing (m),Kasvuston korkeus ennen leikkuuta (m)
variable_name,mowing_cut_height,Cut height (cm),Leikkuukorkeus (cm)
variable_name,mowing_notes,Mowing notes,Muistiinpanot leikkuusta
variable_name,chemical_type,Chemical type,Kemikaalin tyyppi
variable_name,chemical_product_name,Chemical product name,Kemikaalivalmisteen nimi
variable_name,chemical_applic_material,Active substance in chemical,Kemikaalin tehoaine
variable_name,chemical_applic_target,Chemical application target,Kemikaalinlevityksen kohde
variable_name,chemical_applic_method,Chemical application method,Kemikaalinlevitystapa
variable_name,chemical_applic_amount,Chemical amount (kg/ha),Kemikaalin määrä (kg/ha)
variable_name,application_depth_chem,Chemical application depth (cm),Kemikaalinlevityssyvyys (cm)
variable_name,application_ph_start,pH before the application,pH ennen toimenpidettä
variable_name,application_ph_end,pH after the application,pH jälkeen toimenpiteen
variable_name,chemical_applic_notes,Chemical application notes,Kemikaalinlevitysmuistiinpanot
variable_name,observation_type,Observation type,Havainnon tyyppi
variable_name,soil_layer_count,Number of layers in soil sample,Maanäytteen kerrosten lukumäärä
variable_name,soil_layer_top_depth,"Soil layer depth, top (cm)","Kerroksen yläosan syvyys (cm)"
variable_name,soil_layer_base_depth,"Soil layer depth, bottom (cm)","Kerroksen alaosan syvyys (cm)",
variable_name,soil_classification_by_layer,Soil structure (MARA card),Maan rakenne (MARA-kortti)
variable_name,root_depth,Root depth (m),Juurten syvyys (m)
variable_name,soil_compactification_depth,Soil compactification depth (cm),Tiivistymän syvyys (cm)
variable_name,earthworm_count,Number of earthworms,Lierojen lukumäärä
variable_name,soil_image,Photo of soil,Kuva maaperästä
variable_name,growth_stage,Plant growth stage,Kasvuaste
variable_name,plant_density,Plant density (plants/m2),Kasvitiheys (kasveja/m2)
variable_name,specific_leaf_area,Specific leaf area (cm2/g),Ominaislehtiala (cm2/g)
variable_name,leaf_area_index,Leaf area index (m2/m2),Lehtialaindeksi (m2/m2)
variable_name,canopy_height,Canopy height (m),Latvuston korkeus (m)
variable_name,canopeo_reading,Canopeo reading,Canopeo-lukema
variable_name,canopeo_image,Canopeo image,Canopeo-kuva
variable_name,floodwater_depth,Floodwater depth (mm),Tulvaveden syvyys (mm)
variable_name,water_table_depth,Water table level (cm),Pohjaveden pinnan syvyys (cm)
variable_name,plant_pop_reduct_cum,"Amount of plants eaten (%, cumulative)","Syötyjen kasvien määrä (%, kumulatiivinen)"
variable_name,fuel_amount,Fuel used (liters/ha),Käytetty polttoaine (litraa/ha)
variable_name,observation_notes,Observations,Havaintoja
variable_name,irrigation_operation,Irrigation method,Kastelujärjestelmä
variable_name,irrig_amount_depth,"Irrigation amount (depth, mm)","Kastelun määrä (veden syvyys, mm)"
variable_name,irrigation_applic_depth,Irrigation depth (cm),Kastelusyvyys (cm)
variable_name,irrigation_notes,Irrigation notes,Kastelumuistiinpanot
variable_name,mulch_type,Mulch type,Katteen tyyppi
variable_name,mulch_thickness,Mulch thickness (mm),Katteen paksuus (mm)
variable_name,mulch_cover_fraction,Fraction of surface covered (%),Peitto-osuus (%)
variable_name,mulch_color,Mulch colour,Katteen väri
variable_name,mulch_placement_notes,Mulch placement notes,Katteenlevitysmuistiinpanot
variable_name,mulch_type_remove,Type of removed mulch,Poistetun katteen tyyppi
variable_name,mulch_removal_notes,Mulch removal notes,Katteenpoistomuistiinpanot
variable_name,weeding_notes,Notes on the extraction of weeds,Muistiinpanot rikkakasvien kitkemisestä
variable_name,bed_prep_notes,Notes on the preparation of raised beds,Muistiinpanot kasvatuslaatikoiden valmistelusta
variable_name,other_notes,Notes,Muistiinpanot
#
# labels for widgets, incl. help texts etc.
#
element_label,frontpage_title,Enter Field Management Events,Syötä tilanhoitotapahtumia
element_label,frontpage_text,"Welcome! Here you can add new events and files and modify previously entered entries. Click on an event in the list to view details or to edit it.","Tervetuloa! Täällä voit lisätä uusia tapahtumia ja muokata aiemmin syöttämiäsi tapahtumia. Klikkaa tapahtumaa nähdäksesi lisätietoja tai muokataksesi sitä."
element_label,uservisible_title,Site,Sijainti
element_label,guide_text,Guide,Ohje
element_label,json_dl_label,Events json (zip),Tapah. json (zip)
element_label,csv_dl_label,Events table (csv),Tapah. kaikki (csv)
element_label,event_list_title,Events,Tapahtumat
#   element_label,editing_table_title,"All %mgmt_operations_event% events in block '%block%'","Kaikki %mgmt_operations_event%-tapahtumat lohkossa '%block%'"
element_label,table_filter_text_1,"Showing ","Näytetään "
element_label,table_filter_text_2," events from block "," tapahtumat lohkosta "
element_label,table_filter_text_3," and from year "," ja vuodelta "
element_label,table_empty_label,No events to display,Ei tapahtumia
element_label,table_previous_label,Previous,Edellinen
element_label,table_next_label,Next,Seuraava
element_label,add_event_label,Add event,Lisää tapahtuma
element_label,clone_event_label,Clone event,Monista tapahtuma
element_label,required_variables_helptext,*Required,*Pakollinen
element_label,site_label,Select the site*:,Valitse sijainti*:
element_label,save_label,Save,Tallenna
element_label,cancel_label,Cancel,Peruuta
element_label,delete_label,Delete,Poista
element_label,form_title_edit,Edit event,Muokkaa tapahtumaa
element_label,form_title_add,Add event,Lisää tapahtuma
element_label,file_input_button_label,Browse...,Selaa...
element_label,file_input_placeholder,No file selected,Tiedostoa ei valittu
element_label,file_input_progressbar_complete_label,Upload complete,Tiedosto ladattu
element_label,delete_uploaded_file_label,Delete,Poista
element_label,total_row_name,Total,Yhteensä
#
#
#
element_label,block_label,Select the block*:,Valitse lohko*:
element_label,mgmt_operations_event_label,Select the activity*:,Valitse tapahtuma*:
element_label,date_label,Select the date when the activity was performed*:,Valitse päivä jolloin tapahtuma tapahtui*:
element_label,mgmt_event_notes_label,Description:,Kuvaus:
element_label,mgmt_event_notes_placeholder,"A high level description of the event, e.g. “first harvest of the year” or “spring fertilization”. This will appear on the event list.","Yleinen kuvaus tapahtumasta, esim. “vuoden ensimmäinen sadonkorjuu” tai “kevätlannoitus”. Tämä tulee näkyviin tapahtumalistaan."
element_label,planted_crop_label,Planted crop*:,Kylvetty kasvi*:
element_label,planting_material_weight_label,Weight of seeds (kg/ha):,Siementen määrä (kg/ha):
element_label,planting_depth_label,Sowing depth (mm):,Kylvösyvyys (mm):
element_label,planting_material_source_label,Source of seeds:,Siementen alkuperä:
element_label,planting_material_source_placeholder,"Commercial / own seeds, seed cultivar, etc.","Ostetut / omat siemenet, lajike, jne."
element_label,planting_notes_label,Notes about the sowing:,Kylvömuistiinpanoja:
element_label,planting_notes_placeholder,"Any notes or observations about the event, e.g. “soil was drier than usual at the time of sowing”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “maa oli tavallista kuivempi”"
element_label,harvest_area_label,Harvest area (ha):,Pinta-ala (ha):
element_label,harvest_yield_harvest_dw_total_label,"Yield, total dry weight (kg/ha):","Sato, kuivapaino yhteensä (kg/ha):" # not in ICASA
element_label,harv_yield_harv_f_wt_total_label,"Yield, total fresh weight (t/ha):","Sato, märkäpaino yhteensä (t/ha):" # not in ICASA
element_label,yield_C_at_harvest_total_label,"Carbon (C) in yield, total (kg/ha):",Hiilen (C) määrä sadossa yhteensä (kg/ha): # not in ICASA
element_label,harvest_crop_label,Harvested crop*:,Korjattu laji*:
element_label,harvest_operat_component_label,Crop component harvested:,Kerätty kasvinosa:
element_label,canopy_height_harvest_label,Canopy height at harvest (m):,Kasvuston korkeus korjuuhetkellä (m):
element_label,harvest_cut_height_label,Height of cut (cm):,Leikkuukorkeus (cm):
element_label,harvest_yield_harvest_dw_label,"Yield, dry weight (kg/ha):","Sato, kuivapaino (kg/ha):"
element_label,harv_yield_harv_f_wt_label,"Yield, fresh weight (t/ha):","Sato, märkäpaino (t/ha):"
element_label,harvest_moisture_label,"Yield moisture (%):","Sadon kosteus (%):"
element_label,yield_C_at_harvest_label,Carbon (C) in yield (kg/ha):,Hiilen (C) määrä sadossa (kg/ha):
element_label,harvest_method_label,Harvest method:,Sadonkorjuumenetelmä:
element_label,plant_density_harvest_label,Plant density at harvest (number/m2):,Kasvitiheys korjuuhetkellä (kpl/m2):
element_label,harvest_residue_placement_label,Harvest residue placement:,Korjuutähteiden sijoituspaikka:
element_label,harvest_residue_help_text,"If you left the harvest residue on the field, please add a new event (fertilizer application or tillage) accordingly.","Jos jätit korjuutähteet pellolle, tee tästä uusi soveltuva tapahtuma (lannoitus- tai maanmuokkaus-)."
element_label,harvest_comments_label,Harvest comments:,Kommentit sadonkorjuusta:
element_label,harvest_comments_placeholder,"Any notes or observations about the event, e.g. “cutting height was not uniform”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “leikkuukorkeus ei ollut sama kaikkialla”"
element_label,tillage_practice_label,Tillage type*:,Muokkaustyyppi*:
element_label,tillage_implement_label,Tillage implement:,Muokkausväline:
element_label,tillage_operations_depth_label,Tillage depth (cm):,Muokkaussyvyys (cm):
element_label,tillage_treatment_notes_label,Tillage notes:,Muistiinpanot muokkauksesta:
element_label,tillage_treatment_notes_placeholder,"Any notes or observations about the event, e.g. “had to stop tillage and continue the next day”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “jatkoin muokkausta seuraavana päivänä”"
element_label,fertilizer_type_label,Fertilizer type*:,Lannoitteen tyyppi*:
element_label,organic_material_label,Organic material:,Eloperäinen aine:
element_label,animal_fert_usage_label,Animal fertilizer:,Eläimen lannoite:
element_label,animal_fert_usage_placeholder,"Which animal fertilizer, e.g. pig, horse, cow","Minkä eläimen lannoitetta, esim. sika, hevonen, lehmä"
element_label,org_matter_moisture_conc_label,Moisture concentration (%):,Aineen kosteus (%):
element_label,org_matter_carbon_conc_label,Carbon (C) concentration (%):,Hiilen (C) määrä aineessa (%):
element_label,fertilizer_product_name_label,Name of fertilizer:,Lannoitteen nimi:
element_label,fertilizer_material_label,Soil amendment substance:,Maanparannusaine:
element_label,fertilizer_material_source_label,Fertilizer material source:,Lannoitteen alkuperä:
element_label,fertilizer_material_source_placeholder,"e.g. local stables or own farm or Commercial (brand)","esim. paikallinen talli, oma tila tai kaupallinen (tuotteen nimi)"
element_label,fertilizer_applic_method_label,Application method:,Levitystapa:
element_label,application_depth_fert_label,Application depth (cm):,Levityssyvyys (cm):
element_label,fertilizer_total_amount_label,Total amount of fertilizer (kg/ha)*:,Lannoitteen kokonaismäärä (kg/ha)*:
element_label,N_in_applied_fertilizer_label,nitrogen (N),typpi (N)
element_label,N_in_soluble_fertilizer_label,soluble nitrogen (N),liukeneva typpi (N)
element_label,phosphorus_applied_fert_label,phosphorus (P),fosfori (P)
element_label,fertilizer_K_applied_label,potassium (K),kalium (K)
element_label,S_in_applied_fertilizer_label,sulphur (S),rikki (S)
element_label,Ca_in_applied_fertilizer_label,calcium (Ca),kalsium (Ca)
element_label,Mg_in_applied_fertilizer_label,magnesium (Mg),magnesium (Mg)
element_label,Na_in_applied_fertilizer_label,sodium (Na),natrium (Na)
element_label,Cu_in_applied_fertilizer_label,copper (Cu),kupari (Cu)
element_label,Zn_in_applied_fertilizer_label,zinc (Zn),sinkki (Zn)
element_label,B_in_applied_fertilizer_label,boron (B),boori (B)
element_label,Mn_in_applied_fertilizer_label,manganese (Mn),mangaani (Mn)
element_label,Se_in_applied_fertilizer_label,selenium (Se),seleeni (Se)
element_label,Fe_in_applied_fertilizer_label,iron (Fe),rauta (Fe)
element_label,other_element_in_applied_fertilizer_label,other (please specify),muu (mikä?)
element_label,fertilizer_element_table_title,"Amounts of elements in fertilizer (kg/ha), if known:","Ravinteiden määrät lannoitteessa (kg/ha), jos tiedossa:"
#   element_label,N_in_applied_fertilizer_label,Amount of nitrogen (N) in fertilizer (kg/ha):,Typen (N) määrä lannoitteessa (kg/ha):
#   element_label,phosphorus_applied_fert_label,Amount of phosphorus (P) in fertilizer (kg/ha):,Fosforin (P) määrä lannoitteessa (kg/ha):
#   element_label,fertilizer_K_applied_label,Amount of potassium (K) in fertilizer (kg/ha):,Kaliumin (K) määrä lannoitteessa (kg/ha):
#   element_label,S_in_applied_fertilizer_label,Amount of sulphur (S) in fertilizer (kg/ha):,Rikin (S) määrä lannoitteessa (kg/ha):
#   element_label,Ca_in_applied_fertilizer_label,Amount of calcium (Ca) in fertilizer (kg/ha):,Kalsiumin (Ca) määrä lannoitteessa (kg/ha):
#   element_label,Mg_in_applied_fertilizer_label,Amount of magnesium (Mg) in fertilizer (kg/ha):,Magnesiumin (Mg) määrä lannoitteessa (kg/ha):
#   element_label,Na_in_applied_fertilizer_label,Amount of sodium (Na) in fertilizer (kg/ha):,Natriumin (Na) määrä lannoitteessa (kg/ha):
#   element_label,Cu_in_applied_fertilizer_label,Amount of copper (Cu) in fertilizer (kg/ha):,Kuparin (Cu) määrä lannoitteessa (kg/ha):
#   element_label,Zn_in_applied_fertilizer_label,Amount of zinc (Zn) in fertilizer (kg/ha):,Sinkin (Zn) määrä lannoitteessa (kg/ha):
#   element_label,B_in_applied_fertilizer_label,Amount of boron (B) in fertilizer (kg/ha):,Boorin (B) määrä lannoitteessa (kg/ha):
#   element_label,Mn_in_applied_fertilizer_label,Amount of manganese (Mn) in fertilizer (kg/ha):,Mangaanin (Mn) määrä lannoitteessa (kg/ha):
#   element_label,Se_in_applied_fertilizer_label,Amount of selenium (Se) in fertilizer (kg/ha):,Seleenin (Se) määrä lannoitteessa (kg/ha):
#   element_label,Fe_in_applied_fertilizer_label,Amount of iron (Fe) in fertilizer (kg/ha):,Raudan (Fe) määrä lannoitteessa (kg/ha):
element_label,fertilizer_notes_label,Notes on fertilizer application:,Muistiinpanoja lannoitteen levityksestä:
element_label,fertilizer_notes_placeholder,"Any notes or observations about the event, e.g. “biostimulant was added because the field suffered from drought”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “lisäsin biostimulanttia pellon kuivuuden vuoksi”"
#   element_label,org_material_applic_meth_label,Application method:,Levitystapa:
#   element_label,org_material_appl_depth_label,Application depth (cm):,Levityssyvyys (cm):
#   element_label,org_material_notes_label,Comments:,Kommentit:
element_label,grazing_species_label,Grazing species*:,Laiduntava laji*:
element_label,grazing_species_age_group_label,Livestock age group (years):,Eläinten ikäryhmä (vuotta):
element_label,livestock_density_label,Livestock density (number/ha):,Eläinten tiheys (eläintä/ha):
element_label,grazing_intensity_label,"Grazing intensity (total weight of animals, kg/ha):","Laidunnusintensiteetti (eläinten kokonaispaino, kg/ha):"
element_label,grazing_period_label,Grazing period*:,Laidunnusjakso*:
element_label,grazing_type_label,Grazing type:,Laidunnuksen tyyppi:
element_label,grazing_area_label,Grazing area (ha):,Laidunnettava ala (ha):,
element_label,grazing_material_removed_prop_label,Proportion of material removed (%):,Syödyn aineksen määrä (%):
element_label,grazing_starting_height_label,Starting height (cm):,Aloituspituus (cm):
element_label,grazing_end_height_label,End height (cm):,Lopetuspituus (cm):
element_label,grazing_notes_label,Grazing notes:,Laidunnusmuistiinpanot:
element_label,grazing_notes_placeholder,"Any notes or observations about the event, e.g. “animals were too late to the field”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “eläimet vietiin pellolle liian myöhään”"
element_label,mowed_crop_label,Mowed crop*:,Leikattu kasvi*:
element_label,mowed_area_label,Mowed area (ha):,Leikattu ala (ha):
element_label,mowing_method_label,Mowing method:,Leikkuutapa:
element_label,mowing_canopy_height_label,Canopy height before mowing (m):,Kasvuston korkeus ennen leikkuuta (m):,
element_label,mowing_cut_height_label,Cut height (cm):,Leikkuukorkeus (cm):
element_label,mowing_notes_label,Mowing notes:,Muistiinpanot leikkuusta:
element_label,mowing_notes_placeholder,"Any notes or observations about the event, e.g. “mowing height was not uniform”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havaintoja, esim. “leikkuukorkeus ei ollut sama kaikkialla”"
element_label,chemical_type_label,Chemical type*:,Kemikaalin tyyppi*:
element_label,chemical_product_name_label,Chemical product name*:,Kemikaalivalmisteen nimi*:
element_label,chemical_applic_material_label,Active substance in chemical:,Kemikaalin tehoaine:
element_label,chemical_applic_target_label,Chemical application target*:,Kemikaalinlevityksen kohde*:
element_label,chemical_applic_method_label,Chemical application method:,Kemikaalinlevitystapa:
element_label,chemical_applic_amount_label,Chemical amount (kg/ha):,Kemikaalin määrä (kg/ha):
element_label,application_depth_chem_label,Chemical application depth (cm):,Kemikaalinlevityssyvyys (cm):
element_label,application_ph_start_label,pH before the application:,pH toimenpidettä ennen:
element_label,application_ph_end_label,pH after the application:,pH toimenpiteen jälkeen:
element_label,chemical_applic_notes_label,Chemical application notes:,Kemikaalinlevitysmuistiinpanot:
element_label,chemical_applic_notes_placeholder,"Any notes or observations about the event, e.g. “rot affecting X % of plants”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havintoja, esim. “mätää X % kasveista”"
element_label,observation_type_label,Observation type*:,Havainnon tyyppi*:
element_label,soil_layer_count_label,Number of layers in soil sample:,Maanäytteen kerrosten lukumäärä:
element_label,soil_layer_top_depth_label,"Soil layer depth, top (cm):","Kerroksen yläosan syvyys (cm):"
element_label,soil_layer_base_depth_label,"Soil layer depth, bottom (cm):","Kerroksen alaosan syvyys (cm):",
element_label,soil_classification_by_layer_label,Soil structure (MARA card):,Maan rakenne (MARA-kortti):
element_label,root_depth_label,Root depth (m):,Juurten syvyys (m):
element_label,soil_compactification_depth_label,Soil compactification depth (cm):,Tiivistymän syvyys (cm):
element_label,earthworm_count_label,Number of earthworms:,Lierojen lukumäärä:
element_label,soil_image_label,Photo of soil:,Kuva maaperästä:
element_label,growth_stage_label,Plant growth stage:,Kasvuaste:
element_label,plant_density_label,Plant density (plants/m2):,Kasvitiheys (plants/m2):
element_label,specific_leaf_area_label,Specific leaf area (cm2/g):,Ominaislehtiala (cm2/g):
element_label,leaf_area_index_label,Leaf area index (m2/m2):,Lehtialaindeksi (m2/m2):
element_label,canopy_height_label,Canopy height (m):,Latvuston korkeus (m):
element_label,canopeo_reading_label,Canopeo reading:,Canopeo-lukema:
element_label,canopeo_image_label,Canopeo image:,Canopeo-kuva:
element_label,floodwater_depth_label,Floodwater depth (mm):,Tulvaveden syvyys (mm):
element_label,water_table_depth_label,Water table level (cm):,Pohjaveden pinnan syvyys (cm):
element_label,plant_pop_reduct_cum_label,"Amount of plants eaten (%, cumulative):","Syötyjen kasvien määrä (%, kumulatiivinen):"
element_label,fuel_amount_label,Fuel used (liters/ha):,Käytetty polttoaine (litraa/ha):
element_label,observation_notes_label,Observations:,Havainnot:
element_label,irrigation_operation_label,Irrigation method:,Kastelujärjestelmä:
element_label,irrig_amount_depth_label,"Irrigation amount (depth, mm)*:","Kastelun määrä (veden syvyys, mm)*:"
element_label,irrigation_applic_depth_label,Irrigation depth (e.g. of drip line) (cm):,Kastelusyvyys (esim. tippukasteluletkun syvyys) (cm):
element_label,irrigation_notes_label,Irrigation notes:,Kastelumuistiinpanot:
element_label,irrigation_notes_placeholder,"Any notes or observations about the event, e.g. “drip line flow rate seems a bit low”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havintoja, esim. “tippukasteluletkun virtausnopeus vaikuttaa melko hitaalta”"
element_label,mulch_type_label,Mulch type*:,Katteen tyyppi*:
element_label,mulch_thickness_label,Mulch thickness (mm):,Katteen paksuus (mm):
element_label,mulch_cover_fraction_label,Fraction of surface covered (%):,Peitto-osuus (%):
element_label,mulch_color_label,Mulch colour:,Katteen väri:
element_label,mulch_placement_notes_label,Mulch placement notes:,Katteenlevitysmuistiinpanot:
element_label,mulch_placement_notes_placeholder,"Any notes or observations about the event, e.g. “mulch was placed only on the northern half of the field”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havintoja, esim. “kate levitettiin ainoastaan pellon pohjoiselle puoliskolle”"
element_label,mulch_type_remove_label,Type of removed mulch*:,Poistetun katteen tyyppi*:
element_label,mulch_removal_notes_label,Mulch removal notes:,Katteenpoistomuistiinpanot:
element_label,mulch_removal_notes_placeholder,"Any notes or observations about the event, e.g. “the mulch was recycled”","Mitä tahansa tapahtumaan liittyviä muistiinpanoja tai havintoja, esim. “kate kierrätettiin”"
